BOOKSELLER_CATEGORY,AUTHOR,TITLE,SERIES,VOLUME,PUB_DATE,EXTENT,CLOTH_ISBN,CLOTH_PRICE,PAPER_ISBN,PAPER_PRICE,ELECTRONIC_ISBN,ELECTRONIC_PRICE,URL
,,International Politics,,,9/30/2015,,,,978-9-35-150681-2,,,,http://www.uk.sagepub.com/books/Book250075
,,Impact,,,10/31/2015,48 pages,,,978-1-5063-0530-1,,,,http://www.uk.sagepub.com/books/Book246183
,,Research Design: Fourth Edition,,,10/31/2015,,,,978-9-35-150666-9,,,,http://www.uk.sagepub.com/books/Book250063
,,Lost Years of RSS,,,10/31/2015,,,,978-9-35-150691-1,,,,http://www.uk.sagepub.com/books/Book250080
,,Public Administration in a Globalizing World,,,11/30/2015,,,,978-9-35-150669-0,,,,http://www.uk.sagepub.com/books/Book250069
,,Buddhism in India,,,12/31/2015,,,,978-9-35-150675-1,,,,http://www.uk.sagepub.com/books/Book250072
,,Public Administration in a Globalizing World,,,12/31/2015,,,,978-9-35-150705-5,,978-9-35-280427-6,,http://www.uk.sagepub.com/books/Book250087
,,Dilli Tha Jiska Naam,,,12/31/2015,,,,978-9-35-150939-4,,978-9-35-150940-0,,http://www.uk.sagepub.com/books/Book252375
,,CQ Press IBM® SPSS® Statistics v23.0 Student Version DISCONTINUED,,,1/31/2016,0 pages,,,978-1-5063-3753-1,,,,http://www.uk.sagepub.com/books/Book249407
,,SAGE IBM® SPSS® Statistics v23.0 Student Version,,,1/31/2016,0 pages,,,978-1-5063-3754-8,,,,http://www.uk.sagepub.com/books/Book249354
,,SAGE: The First 50 Years,,,4/30/2016,180 pages,,,978-1-5063-2404-3,,,,http://www.uk.sagepub.com/books/Book249032
,,SAGE IBM® SPSS® Statistics v23.0 Student Version,,,5/31/2016,,,,978-1-5063-5165-0,,,,http://www.uk.sagepub.com/books/Book253339
,,CQ Press IBM® SPSS® Statistics v23.0 Student Version,,,5/31/2016,0 pages,,,978-1-5063-5166-7,,,,http://www.uk.sagepub.com/books/Book253340
,,Business Research Methods and Marketing Research,,,7/31/2016,,,,978-9-38-598513-3,,,,http://www.uk.sagepub.com/books/Book253420
,,Vivekananda Walks into the Boardroom,,,8/31/2016,,978-9-38-598508-9,,,,978-9-38-598509-6,,http://www.uk.sagepub.com/books/Book253418
,,Politics of Post-Civil Society,,,9/30/2016,,,,978-9-38-598550-8,,978-9-35-280584-6,,http://www.uk.sagepub.com/books/Book253719
,,THEORY AND METHODS IN SOCIAL RESEARCH: Second Edition,,,10/31/2016,,,,978-9-38-598554-6,,,,http://www.uk.sagepub.com/books/Book253723
,,Theory and Methods in Social Research: Second Edition,,,11/30/2016,,,,978-9-38-598540-9,,,,http://www.uk.sagepub.com/books/Book253709
,,Sociological Traditions,,,11/30/2016,,,,978-9-38-598558-4,,,,http://www.uk.sagepub.com/books/Book253727
,,Vol 4: The Parsi Elderly,The Parsis of India: Continuing at the Crossroads,,11/30/2016,,978-9-38-604295-8,,,,,,http://www.uk.sagepub.com/books/Book254934
,,Bhartey Sena Mein Netratva,,,4/30/2017,,,,978-9-35-150689-8,,,,http://www.uk.sagepub.com/books/Book250079
,,The National Curriculum and the Teachers' Standards,,,1/27/2018,240 pages,,,978-1-5264-3659-7,£12.99,978-1-5264-4812-5,£9.99,http://www.uk.sagepub.com/books/Book259929
POLI Politics and International Relations,,2010 Congressional Staff Directory/Spring 87e,,,,,,,978-0-87289-446-4,£225.00,,,http://www.uk.sagepub.com/books/Book237087
POLI Politics and International Relations,,2010 Congressional Staff Directory/Summer 88e,,,,,,,978-0-87289-447-1,£225.00,,,http://www.uk.sagepub.com/books/Book237088
POLI Politics and International Relations,,2010 Judicial Staff Directory/Summer 36e,,,,,,,978-0-87289-457-0,£225.00,,,http://www.uk.sagepub.com/books/Book237092
CRIM Criminology,,"Ohio State Supplement for Lippman's Contemporary Criminal Law, Second Edition",,,,,,,978-1-4129-8227-6,,,,http://www.uk.sagepub.com/books/Book234796
CRIM Criminology,,"New York State Supplement for Lippman's Contemporary Criminal Law, Second Edition",,,,,,,978-1-4129-8228-3,,,,http://www.uk.sagepub.com/books/Book234798
CRIM Criminology,,"Illinois State Supplement for Lippman's Contemporary Criminal Law, Second Edition",,,,,,,978-1-4129-8232-0,,,,http://www.uk.sagepub.com/books/Book234799
CRIM Criminology,,"Virginia State Supplement for Lippman's Contemporary Criminal Law, Second Edition",,,,,,,978-1-4129-8231-3,,,,http://www.uk.sagepub.com/books/Book234800
CRIM Criminology,,"Florida State Supplement for Lippman's Contemporary Criminal Law, Second Edition",,,,,,,978-1-4129-8230-6,,,,http://www.uk.sagepub.com/books/Book234801
CRIM Criminology,,"California State Supplement for Lippman's Contemporary Criminal Law, Second Edition",,,,,,,978-1-4129-8229-0,,,,http://www.uk.sagepub.com/books/Book234802
CRIM Criminology,,"Texas State Supplement for Lippman's Contemporary Criminal Law, Second Edition",,,,,,,978-1-4129-8233-7,,,,http://www.uk.sagepub.com/books/Book234803
EDUC Primary and Secondary Education,,Writing Sparks,,,,40 pages,,,978-1-57517-917-9,£6.99,,,http://www.uk.sagepub.com/books/Book228996
MANA Management and Organization Studies, L & Koslowsky M,Participation and Empowerment in Organizations,Advanced Topics in Organizational Behavior,,1/28/2000,160 pages,978-0-7619-0734-3,£84.00,978-0-7619-0735-0,£44.99,,,http://www.uk.sagepub.com/books/Book7172
STAT Statistics and Mathematical Methods,(2011-2013) J & Nouri H,Effect Size for ANOVA Designs,Quantitative Applications in the Social Sciences,Volume 129,12/30/1999,80 pages,,,978-0-7619-1550-8,£17.99,,,http://www.uk.sagepub.com/books/Book10195
HIST History and Museum Studies,(Author) I & (Translator) S,Delhi Tha Jiska Naam,,,4/30/2016,220 pages,,,978-9-35-150892-2,,978-9-35-150993-6,,http://www.uk.sagepub.com/books/Book251844
POLI Politics and International Relations,(retd) A,Peace is Everybody's Business,,,6/30/2012,264 pages,978-8-13-210943-3,£25.00,,,978-8-13-211064-4,£20.00,http://www.uk.sagepub.com/books/Book239717
"SOCW Social Welfare, Family Studies & Gerontology",2007-2011 M et al,Researching Social Gerontology,Fundamentals of Applied Research,,11/13/2012,1816 pages,978-1-4462-4976-5,£645.00,,,,,http://www.uk.sagepub.com/books/Book238136
ENVI Environmental Studies,2014) R et al,Key Concepts in Development Geography,Key Concepts in Human Geography,,5/17/2012,288 pages,978-0-85702-584-5,£80.00,978-0-85702-585-2,£25.99,978-1-4462-6799-8,£20.99,http://www.uk.sagepub.com/books/Book235684
